epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1431.85,0.83605,0.56638,1.15812,0.91272,0.91791,0.95761,0.70713,0.88951,0.49938,1.13708,0.0011882,0.0011882,0.0011882
43,1463.89,0.82108,0.55793,1.15079,0.90805,0.92854,0.96212,0.71611,0.88682,0.47791,1.12425,0.0011684,0.0011684,0.0011684
44,1495.83,0.82405,0.56357,1.14977,0.90485,0.93444,0.96362,0.70978,0.88673,0.49336,1.13665,0.0011486,0.0011486,0.0011486
45,1527.89,0.82277,0.55761,1.15121,0.91986,0.9227,0.96269,0.71227,0.88556,0.4961,1.12372,0.0011288,0.0011288,0.0011288
46,1559.81,0.81604,0.55588,1.14971,0.9204,0.9128,0.96436,0.71958,0.89371,0.48432,1.13561,0.001109,0.001109,0.001109
47,1591.88,0.80868,0.55225,1.14401,0.91166,0.91833,0.9615,0.70578,0.89495,0.48505,1.14858,0.0010892,0.0010892,0.0010892
48,1624.03,0.8098,0.54817,1.14365,0.91255,0.92769,0.96441,0.7173,0.88228,0.46666,1.14532,0.0010694,0.0010694,0.0010694
49,1656.01,0.79487,0.54188,1.13333,0.91116,0.93365,0.96722,0.72007,0.87805,0.4763,1.12571,0.0010496,0.0010496,0.0010496
50,1688.25,0.78981,0.52943,1.13116,0.91434,0.93069,0.96413,0.71532,0.90121,0.47742,1.14462,0.0010298,0.0010298,0.0010298
51,1720.17,0.79575,0.53601,1.13988,0.90821,0.93011,0.96345,0.71059,0.89199,0.4852,1.13887,0.00101,0.00101,0.00101
52,1752.3,0.79088,0.53089,1.13525,0.91713,0.92262,0.9635,0.71432,0.89206,0.48407,1.14594,0.0009902,0.0009902,0.0009902
53,1784.33,0.77774,0.52608,1.12399,0.91247,0.92673,0.96232,0.71568,0.88041,0.47306,1.12543,0.0009704,0.0009704,0.0009704
54,1816.2,0.78106,0.52381,1.12557,0.91892,0.92072,0.96262,0.71941,0.87477,0.46844,1.13524,0.0009506,0.0009506,0.0009506
55,1848.19,0.76154,0.51782,1.11967,0.92092,0.92623,0.96275,0.71217,0.89849,0.47136,1.15965,0.0009308,0.0009308,0.0009308
56,1879.99,0.77129,0.51185,1.12258,0.91623,0.93047,0.96337,0.71804,0.8971,0.46581,1.14643,0.000911,0.000911,0.000911
57,1912.04,0.75768,0.50736,1.11503,0.91745,0.91709,0.96177,0.71708,0.88293,0.47255,1.13032,0.0008912,0.0008912,0.0008912
58,1944,0.76678,0.51207,1.11937,0.92204,0.92259,0.9638,0.71787,0.89856,0.46257,1.14568,0.0008714,0.0008714,0.0008714
59,1975.93,0.75747,0.50373,1.11331,0.93069,0.91408,0.96391,0.71584,0.89099,0.47315,1.14585,0.0008516,0.0008516,0.0008516
60,2007.92,0.75493,0.4945,1.11594,0.9137,0.93215,0.96419,0.72252,0.89234,0.45486,1.1605,0.0008318,0.0008318,0.0008318
61,2040.02,0.75678,0.50264,1.11468,0.90952,0.93633,0.96589,0.72048,0.88662,0.45824,1.1603,0.000812,0.000812,0.000812
62,2072.11,0.73803,0.49538,1.10616,0.92564,0.92656,0.96341,0.72312,0.88265,0.44822,1.15348,0.0007922,0.0007922,0.0007922
63,2104.18,0.74711,0.49276,1.11023,0.92015,0.93625,0.96466,0.71655,0.90652,0.45736,1.15708,0.0007724,0.0007724,0.0007724
64,2136.03,0.7372,0.48752,1.09887,0.92682,0.92663,0.96643,0.72441,0.88463,0.44991,1.15374,0.0007526,0.0007526,0.0007526
65,2168.04,0.72999,0.48903,1.10504,0.92406,0.93194,0.96507,0.71982,0.89374,0.45695,1.17227,0.0007328,0.0007328,0.0007328
66,2199.9,0.7277,0.47938,1.09897,0.91728,0.93067,0.96352,0.72475,0.88721,0.44682,1.16615,0.000713,0.000713,0.000713
